level,code,exerciseName,words,playWordsCount, wordsColumns
1,koroleva_words_first_1,1я группа,(круг машина),1,2
2,koroleva_words_first_1,1я группа,(мышь голова),1,2
3,koroleva_words_first_1,1я группа,(машина голова),1,2
4,koroleva_words_first_1,1я группа,(круг мышь),1,2
5,koroleva_words_first_1,1я группа,(круг машина мышь голова),1,2
6,koroleva_words_first_2,2я группа,(спать рубашка),1,2
7,koroleva_words_first_2,2я группа,(ключ горячий),1,2
8,koroleva_words_first_2,2я группа,(рубашка горячий),1,2
9,koroleva_words_first_2,2я группа,(спать ключ),1,2
10,koroleva_words_first_2,2я группа,(спать рубашка ключ горячий),1,2
11,koroleva_words_first_3,3я группа,(стук самолёт),1,2
12,koroleva_words_first_3,3я группа,(кот послушай),1,2
13,koroleva_words_first_3,3я группа,(послушай самолёт),1,2
14,koroleva_words_first_3,3я группа,(кот стук),1,2
15,koroleva_words_first_3,3я группа,(стук самолёт кот послушай),1,2
16,koroleva_words_first_4,4я группа,(пульт компьютер),1,2
17,koroleva_words_first_4,4я группа,(нос картина),1,2
18,koroleva_words_first_4,4я группа,(картина компьютер),1,2
19,koroleva_words_first_4,4я группа,(нос пульт),1,2
20,koroleva_words_first_4,4я группа,(пульт компьютер нос картина),1,2
21,koroleva_words_first_5,5я группа,(стул рисовать),1,2
22,koroleva_words_first_5,5я группа,(глаз хорошо),1,2
23,koroleva_words_first_5,5я группа,(хорошо рисовать),1,2
24,koroleva_words_first_5,5я группа,(глаз стул),1,2
25,koroleva_words_first_5,5я группа,(стул рисовать глаз хорошо),1,2
26,koroleva_words_first_6,6я группа,(чай телефон),1,2
27,koroleva_words_first_6,6я группа,(дверь ботинки),1,2
28,koroleva_words_first_6,6я группа,(ботинки телефон),1,2
29,koroleva_words_first_6,6я группа,(дверь чай),1,2
30,koroleva_words_first_6,6я группа,(чай телефон дверь ботинки),1,2
50,koroleva_words_second_1_4,1 слово из 6и,(круг машина мышь голова спать рубашка),1,2
51,koroleva_words_second_1_4,1 слово из 6и,(мышь голова спать рубашка ключ горячий),1,2
52,koroleva_words_second_1_4,1 слово из 6и,(спать рубашка ключ горячий стук самолёт),1,2
53,koroleva_words_second_1_4,1 слово из 6и,(ключ горячий стук самолёт кот послушай),1,2
54,koroleva_words_second_1_4,1 слово из 6и,(стук самолёт кот послушай пульт компьютер),1,2
55,koroleva_words_second_1_4,1 слово из 6и,(кот послушай пульт компьютер нос картина),1,2
70,koroleva_words_second_2_4,2 слова из 4х,(круг машина мышь голова),2,2
71,koroleva_words_second_2_4,2 слова из 4х,(спать рубашка ключ горячий),2,2
72,koroleva_words_second_2_4,2 слова из 4х,(стук самолёт кот послушай),2,2
73,koroleva_words_second_2_4,2 слова из 4х,(пульт компьютер нос картина),2,2
74,koroleva_words_second_2_4,2 слова из 4х,(стул рисовать глаз хорошо),2,2
75,koroleva_words_second_2_4,2 слова из 4х,(чай телефон дверь ботинки),2,2
76,koroleva_words_second_2_6,2 слова из 6и,(круг машина мышь голова спать рубашка),2,2
77,koroleva_words_second_2_6,2 слова из 6и,(мышь голова спать рубашка ключ горячий),2,2
78,koroleva_words_second_2_6,2 слова из 6и,(спать рубашка ключ горячий стук самолёт),2,2
79,koroleva_words_second_2_6,2 слова из 6и,(ключ горячий стук самолёт кот послушай),2,2
80,koroleva_words_second_2_6,2 слова из 6и,(стук самолёт кот послушай пульт компьютер),2,2
81,koroleva_words_second_2_6,2 слова из 6и,(кот послушай пульт компьютер нос картина),2,2
82,koroleva_words_second_3_6,3 слова из 6и,(круг машина мышь голова спать рубашка),3,2
83,koroleva_words_second_3_6,3 слова из 6и,(мышь голова спать рубашка ключ горячий),3,2
84,koroleva_words_second_3_6,3 слова из 6и,(спать рубашка ключ горячий стук самолёт),3,2
85,koroleva_words_second_3_6,3 слова из 6и,(ключ горячий стук самолёт кот послушай),3,2
86,koroleva_words_second_3_6,3 слова из 6и,(стук самолёт кот послушай пульт компьютер),3,2
87,koroleva_words_second_3_6,3 слова из 6и,(кот послушай пульт компьютер нос картина),3,2
